id,short_code,reference_number,transaction_data,expires_at,used,created_at
1,S45KZ0,TXN-1763565910577-B8D847AA,"{""items"":[{""price"":""15.00"",""quantity"":1,""product_id"":10,""product_name"":""Add Cheese""},{""price"":""95.00"",""quantity"":1,""product_id"":2,""product_name"":""Bacon""}],""store_id"":1,""vendor_id"":7,""short_code"":""S45KZ0"",""total_amount"":""110.00"",""total_points"":11,""reference_number"":""TXN-1763565910577-B8D847AA"",""transaction_date"":""2025-11-19T15:25:10.577Z"",""transaction_type"":""Purchase""}",2025-11-19T15:35:10.577+00:00,true,2025-11-19T15:25:10.914543+00:00
2,6F5U40,SUPR-20251119-1086,"{""items"":[{""price"":""60.00"",""quantity"":1,""product_id"":7,""product_name"":""Fish Cake""},{""price"":""15.00"",""quantity"":1,""product_id"":10,""product_name"":""Add Cheese""},{""price"":""95.00"",""quantity"":1,""product_id"":2,""product_name"":""Bacon""},{""price"":""35.00"",""quantity"":1,""product_id"":8,""product_name"":""Nori Seaweeds""}],""store_id"":1,""vendor_id"":7,""short_code"":""6F5U40"",""total_amount"":""205.00"",""total_points"":20.5,""reference_number"":""SUPR-20251119-1086"",""transaction_date"":""2025-11-19T15:42:59.181Z"",""transaction_type"":""Purchase""}",2025-11-19T15:52:59.27+00:00,true,2025-11-19T15:42:59.619812+00:00
3,5ZPGQZ,NUTE-20251120-9743,"{""items"":[{""price"":""60.00"",""quantity"":2,""product_id"":20,""product_name"":""Nutella Waffle""},{""price"":""50.00"",""quantity"":2,""product_id"":25,""product_name"":""Milo Dinosour (22 oz)""}],""store_id"":2,""vendor_id"":9,""short_code"":""5ZPGQZ"",""total_amount"":""220.00"",""total_points"":22,""reference_number"":""NUTE-20251120-9743"",""transaction_date"":""2025-11-20T07:45:12.413Z"",""transaction_type"":""Purchase""}",2025-11-20T07:55:12.555+00:00,false,2025-11-20T07:45:12.31784+00:00
4,6OUXQD,NUTE-20251120-6853,"{""items"":[{""price"":""45.00"",""quantity"":2,""product_id"":26,""product_name"":""Katsu Musubi""},{""price"":""50.00"",""quantity"":2,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""}],""store_id"":2,""vendor_id"":9,""short_code"":""6OUXQD"",""total_amount"":""190.00"",""total_points"":19,""reference_number"":""NUTE-20251120-6853"",""transaction_date"":""2025-11-20T08:02:06.880Z"",""transaction_type"":""Purchase""}",2025-11-20T08:12:07.157+00:00,false,2025-11-20T08:02:06.273291+00:00
5,QZIG2M,NUTE-20251120-3297,"{""items"":[{""price"":""10.00"",""quantity"":6,""product_id"":22,""product_name"":""Add Ons""},{""price"":""70.00"",""quantity"":2,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""}],""store_id"":2,""vendor_id"":9,""short_code"":""QZIG2M"",""total_amount"":""200.00"",""total_points"":20,""reference_number"":""NUTE-20251120-3297"",""transaction_date"":""2025-11-20T08:06:08.644Z"",""transaction_type"":""Purchase""}",2025-11-20T08:16:08.788+00:00,false,2025-11-20T08:06:07.917538+00:00
6,AIT696,NUTE-20251120-8263,"{""items"":[{""price"":""70.00"",""quantity"":2,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""},{""price"":""35.00"",""quantity"":2,""product_id"":16,""product_name"":""Gyoza (5 pcs.)""}],""store_id"":2,""vendor_id"":9,""short_code"":""AIT696"",""total_amount"":""210.00"",""total_points"":21,""reference_number"":""NUTE-20251120-8263"",""transaction_date"":""2025-11-20T08:12:27.366Z"",""transaction_type"":""Purchase""}",2025-11-20T08:22:27.58+00:00,false,2025-11-20T08:12:26.722714+00:00
7,6UVLTO,NUTE-20251120-5039,"{""items"":[{""price"":""50.00"",""quantity"":2,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""}],""store_id"":2,""vendor_id"":9,""short_code"":""6UVLTO"",""total_amount"":""100.00"",""total_points"":10,""reference_number"":""NUTE-20251120-5039"",""transaction_date"":""2025-11-20T08:25:41.524Z"",""transaction_type"":""Purchase""}",2025-11-20T08:35:41.692+00:00,false,2025-11-20T08:25:40.758552+00:00
8,AX66UJ,NUTE-20251120-3025,"{""items"":[{""price"":""30.00"",""quantity"":1,""product_id"":23,""product_name"":""Milo Dinosour (12 oz)""},{""price"":""45.00"",""quantity"":2,""product_id"":26,""product_name"":""Katsu Musubi""}],""store_id"":2,""vendor_id"":9,""short_code"":""AX66UJ"",""total_amount"":""120.00"",""total_points"":12,""reference_number"":""NUTE-20251120-3025"",""transaction_date"":""2025-11-20T09:47:26.361Z"",""transaction_type"":""Purchase""}",2025-11-20T09:57:26.486+00:00,true,2025-11-20T09:47:25.524055+00:00
9,M8T8H2,NUTE-20251120-3366,"{""items"":[{""price"":""40.00"",""quantity"":2,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""},{""price"":""70.00"",""quantity"":2,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""},{""price"":""10.00"",""quantity"":2,""product_id"":22,""product_name"":""Add Ons""}],""store_id"":2,""vendor_id"":9,""short_code"":""M8T8H2"",""total_amount"":""240.00"",""total_points"":24,""reference_number"":""NUTE-20251120-3366"",""transaction_date"":""2025-11-20T09:51:49.438Z"",""transaction_type"":""Purchase""}",2025-11-20T10:01:49.539+00:00,false,2025-11-20T09:51:48.543085+00:00
10,OGQMAF,NUTE-20251120-5654,"{""items"":[{""price"":""40.00"",""quantity"":2,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""},{""price"":""10.00"",""quantity"":2,""product_id"":22,""product_name"":""Add Ons""}],""store_id"":2,""vendor_id"":9,""short_code"":""OGQMAF"",""total_amount"":""100.00"",""total_points"":10,""reference_number"":""NUTE-20251120-5654"",""transaction_date"":""2025-11-20T09:57:22.391Z"",""transaction_type"":""Purchase""}",2025-11-20T10:07:22.566+00:00,false,2025-11-20T09:57:21.572859+00:00
11,7BQ3FK,NUTE-20251120-1040,"{""items"":[{""price"":""70.00"",""quantity"":1,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""},{""price"":""40.00"",""quantity"":1,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""},{""price"":""10.00"",""quantity"":2,""product_id"":22,""product_name"":""Add Ons""},{""price"":""70.00"",""quantity"":1,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""}],""store_id"":2,""vendor_id"":9,""short_code"":""7BQ3FK"",""total_amount"":""200.00"",""total_points"":20,""reference_number"":""NUTE-20251120-1040"",""transaction_date"":""2025-11-20T10:01:37.102Z"",""transaction_type"":""Purchase""}",2025-11-20T10:11:37.267+00:00,false,2025-11-20T10:01:36.271269+00:00
12,U6DA4V,NUTE-20251120-9591,"{""items"":[{""price"":""40.00"",""quantity"":1,""product_id"":24,""product_name"":""Milo Dinosour (16 oz)""},{""price"":""30.00"",""quantity"":1,""product_id"":23,""product_name"":""Milo Dinosour (12 oz)""},{""price"":""45.00"",""quantity"":2,""product_id"":26,""product_name"":""Katsu Musubi""}],""store_id"":2,""vendor_id"":9,""short_code"":""U6DA4V"",""total_amount"":""160.00"",""total_points"":16,""reference_number"":""NUTE-20251120-9591"",""transaction_date"":""2025-11-20T10:12:54.284Z"",""transaction_type"":""Purchase""}",2025-11-20T10:22:54.487+00:00,false,2025-11-20T10:12:53.446731+00:00
13,8R412F,NUTE-20251120-1156,"{""items"":[{""price"":""35.00"",""quantity"":2,""product_id"":16,""product_name"":""Gyoza (5 pcs.)""},{""price"":""70.00"",""quantity"":1,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""}],""store_id"":2,""vendor_id"":9,""short_code"":""8R412F"",""total_amount"":""140.00"",""total_points"":14,""reference_number"":""NUTE-20251120-1156"",""transaction_date"":""2025-11-20T10:14:26.190Z"",""transaction_type"":""Purchase""}",2025-11-20T10:24:26.326+00:00,false,2025-11-20T10:14:25.332118+00:00
14,84RWKL,NUTE-20251120-1083,"{""items"":[{""price"":""50.00"",""quantity"":1,""product_id"":17,""product_name"":""Gyoza (7 pcs.)""},{""price"":""70.00"",""quantity"":1,""product_id"":18,""product_name"":""Gyoza (10 pcs.)""},{""price"":""35.00"",""quantity"":1,""product_id"":16,""product_name"":""Gyoza (5 pcs.)""},{""price"":""45.00"",""quantity"":1,""product_id"":26,""product_name"":""Katsu Musubi""}],""store_id"":2,""vendor_id"":9,""short_code"":""84RWKL"",""total_amount"":""200.00"",""total_points"":20,""reference_number"":""NUTE-20251120-1083"",""transaction_date"":""2025-11-20T10:20:20.270Z"",""transaction_type"":""Purchase""}",2025-11-20T10:30:20.412+00:00,false,2025-11-20T10:20:19.375594+00:00
15,QM2Q82,NUTE-20251120-5945,"{""items"":[{""price"":""40.00"",""quantity"":1,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""},{""price"":""10.00"",""quantity"":1,""product_id"":22,""product_name"":""Add Ons""}],""store_id"":2,""vendor_id"":9,""short_code"":""QM2Q82"",""total_amount"":""50.00"",""total_points"":5,""reference_number"":""NUTE-20251120-5945"",""transaction_date"":""2025-11-20T10:29:42.342Z"",""transaction_type"":""Purchase""}",2025-11-20T10:39:42.526+00:00,false,2025-11-20T10:29:41.516605+00:00
16,GTT18G,NUTE-20251120-8264,"{""items"":[{""price"":""40.00"",""quantity"":1,""product_id"":27,""product_name"":""Chicken Seaweed Floss Musubi""},{""price"":""70.00"",""quantity"":1,""product_id"":21,""product_name"":""Blueberry Creamcheese Waffle""},{""price"":""10.00"",""quantity"":1,""product_id"":22,""product_name"":""Add Ons""}],""store_id"":2,""vendor_id"":9,""short_code"":""GTT18G"",""total_amount"":""120.00"",""total_points"":12,""reference_number"":""NUTE-20251120-8264"",""transaction_date"":""2025-11-20T10:32:25.177Z"",""transaction_type"":""Purchase""}",2025-11-20T10:42:25.301+00:00,false,2025-11-20T10:32:24.246752+00:00
